  date,  time,  speed,  latitude,  longitude
2016-04-12,15:43:46,0.0,32.106111,35.205729
2016-04-12,15:43:47,0.0,32.106294,35.205708
2016-04-12,15:43:48,0.0,32.106294,35.205708
2016-04-12,15:43:49,0.0,32.106294,35.205708
2016-04-12,15:43:51,0.0,32.106294,35.205708
2016-04-12,15:43:52,0.0,32.106294,35.205708
2016-04-12,15:43:53,0.0,32.106294,35.205708
2016-04-12,15:43:54,0.0,32.106294,35.205708
2016-04-12,15:43:55,0.0,32.106157,35.205871
2016-04-12,15:43:56,5.0,32.106148,35.205896
2016-04-12,15:43:57,4.0,32.106137,35.205923
2016-04-12,15:43:58,0.0,32.106137,35.205923
2016-04-12,15:43:59,4.0,32.106125,35.205965
2016-04-12,15:44:00,4.0,32.10612,35.205981
2016-04-12,15:44:01,5.0,32.106117,35.205999
2016-04-12,15:44:02,5.0,32.106111,35.206022
2016-04-12,15:44:03,5.0,32.106106,35.206049
2016-04-12,15:44:04,5.0,32.106106,35.206076
2016-04-12,15:44:05,5.0,32.106104,35.206097
2016-04-12,15:44:06,4.0,32.106102,35.206115
2016-04-12,15:44:07,5.0,32.106095,35.206134
2016-04-12,15:44:08,6.0,32.106087,35.206147
2016-04-12,15:44:09,5.0,32.106082,35.206158
2016-04-12,15:44:10,6.0,32.106078,35.20617
2016-04-12,15:44:11,4.0,32.106075,35.206181
2016-04-12,15:44:12,4.0,32.106072,35.206194
2016-04-12,15:44:13,5.0,32.106068,35.206214
2016-04-12,15:44:14,4.0,32.106064,35.206236
2016-04-12,15:44:15,4.0,32.106061,35.206251
2016-04-12,15:44:16,4.0,32.106056,35.206264
2016-04-12,15:44:17,4.0,32.106049,35.206279
2016-04-12,15:44:18,4.0,32.106044,35.206297
2016-04-12,15:44:19,4.0,32.106042,35.206312
2016-04-12,15:44:20,4.0,32.106039,35.206324
2016-04-12,15:44:21,4.0,32.106037,35.206335
2016-04-12,15:44:22,4.0,32.106034,35.206349
2016-04-12,15:44:23,4.0,32.106029,35.206364
2016-04-12,15:44:24,4.0,32.106022,35.206381
2016-04-12,15:44:25,4.0,32.106015,35.206402
