date_and_time,lat,lon,speed
16-04-12 15:49:34:000,32.091495,34.975389,4
16-04-12 15:49:35:000,32.091437,34.975459,4
16-04-12 15:49:36:000,32.091429,34.975476,4
16-04-12 15:49:37:000,32.091461,34.975487,5
16-04-12 15:49:38:000,32.091496,34.9755,5
16-04-12 15:49:39:000,32.091472,34.975525,5
16-04-12 15:49:40:000,32.091471,34.975534,4
16-04-12 15:49:41:000,32.091486,34.975537,5
16-04-12 15:49:42:000,32.091471,34.975529,2
16-04-12 15:49:43:000,32.091482,34.975535,3
16-04-12 15:49:44:000,32.091489,34.975539,3
16-04-12 15:49:45:000,32.091482,34.975564,3
16-04-12 15:49:46:000,32.091487,34.975571,2
16-04-12 15:49:47:000,32.091479,34.975575,1
16-04-12 15:49:48:000,32.091479,34.975591,1
16-04-12 15:49:49:000,32.091467,34.975592,1
16-04-12 15:49:50:000,32.091453,34.975606,2
16-04-12 15:49:51:000,32.091482,34.97559,2
16-04-12 15:49:52:000,32.091501,34.975611,4
16-04-12 15:49:53:000,32.091504,34.97561,4
16-04-12 15:49:54:000,32.091518,34.975644,9
16-04-12 15:49:55:000,32.09152,34.975685,11
16-04-12 15:49:56:000,32.091543,34.975712,11
16-04-12 15:49:57:000,32.091556,34.975732,8
16-04-12 15:49:58:000,32.091561,34.975751,8
16-04-12 15:49:59:000,32.091555,34.975817,10
16-04-12 15:50:00:000,32.09158,34.975823,9
16-04-12 15:50:01:000,32.091582,34.97585,9
16-04-12 15:50:02:000,32.091606,34.97587,9
16-04-12 15:50:03:000,32.091611,34.975892,10
16-04-12 15:50:04:000,32.091622,34.97593,10
16-04-12 15:50:05:000,32.091631,34.975969,11
16-04-12 15:50:06:000,32.09162,34.976016,12
16-04-12 15:50:07:000,32.091609,34.976052,11
16-04-12 15:50:08:000,32.09162,34.97607,10
16-04-12 15:50:09:000,32.091636,34.976097,8
16-04-12 15:50:10:000,32.091666,34.976119,10
16-04-12 15:50:11:000,32.091688,34.976151,11
16-04-12 15:50:12:000,32.091712,34.976174,10
16-04-12 15:50:13:000,32.09172,34.976189,9
16-04-12 15:50:14:000,32.091741,34.976224,11
16-04-12 15:50:15:000,32.091749,34.976258,11
16-04-12 15:50:16:000,32.091783,34.976308,13
16-04-12 15:50:17:000,32.091787,34.976337,11
16-04-12 15:50:18:000,32.09176,34.976369,10
16-04-12 15:50:19:000,32.091755,34.976413,11
16-04-12 15:50:20:000,32.09173,34.976423,9
16-04-12 15:50:21:000,32.091729,34.976449,9
16-04-12 15:50:22:000,32.091737,34.976478,9
16-04-12 15:50:23:000,32.091753,34.976494,9
16-04-12 15:50:24:000,32.091774,34.976525,9
16-04-12 15:50:25:000,32.091781,34.976538,8
16-04-12 15:50:26:000,32.091789,34.976575,8
16-04-12 15:50:27:000,32.091831,34.976604,10
16-04-12 15:50:28:000,32.091795,34.976634,8
16-04-12 15:50:29:000,32.091788,34.976658,8
16-04-12 15:50:30:000,32.091801,34.976688,9
16-04-12 15:50:31:000,32.091816,34.976719,10
16-04-12 15:50:32:000,32.09183,34.976748,9
16-04-12 15:50:33:000,32.091843,34.976783,10
16-04-12 15:50:34:000,32.091851,34.976828,11
16-04-12 15:50:35:000,32.091887,34.976871,12
16-04-12 15:50:36:000,32.09189,34.976881,10
16-04-12 15:50:37:000,32.091891,34.976896,10
16-04-12 15:50:38:000,32.091903,34.976913,9
16-04-12 15:50:39:000,32.09193,34.976932,8
16-04-12 15:50:40:000,32.09192,34.976967,8
16-04-12 15:50:41:000,32.091926,34.977002,9
16-04-12 15:50:42:000,32.091938,34.977031,9
16-04-12 15:50:43:000,32.091908,34.977072,9
16-04-12 15:50:44:000,32.091922,34.977106,9
16-04-12 15:50:45:000,32.091972,34.977138,10
16-04-12 15:50:46:000,32.091971,34.977178,10
16-04-12 15:50:47:000,32.091996,34.977209,9
16-04-12 15:50:48:000,32.092006,34.977251,9
16-04-12 15:50:49:000,32.092034,34.977275,9
16-04-12 15:50:50:000,32.092059,34.977302,11
16-04-12 15:50:51:000,32.09209,34.977351,13
16-04-12 15:50:52:000,32.092118,34.977389,12
16-04-12 15:50:53:000,32.092133,34.977433,12
16-04-12 15:50:54:000,32.092142,34.977466,11
16-04-12 15:50:55:000,32.092151,34.977502,9
16-04-12 15:50:56:000,32.092164,34.977533,10
16-04-12 15:50:57:000,32.092171,34.97756,9
16-04-12 15:50:58:000,32.092195,34.977588,10
16-04-12 15:50:59:000,32.092222,34.977622,11
16-04-12 15:51:00:000,32.092224,34.977644,10
16-04-12 15:51:01:000,32.092266,34.977673,12
16-04-12 15:51:02:000,32.092278,34.977702,10
16-04-12 15:51:03:000,32.092286,34.977734,11
16-04-12 15:51:04:000,32.092301,34.97776,9
16-04-12 15:51:05:000,32.092305,34.977794,11
16-04-12 15:51:06:000,32.092347,34.977819,11
16-04-12 15:51:07:000,32.092362,34.977848,11
16-04-12 15:51:08:000,32.092383,34.977874,10
16-04-12 15:51:09:000,32.092414,34.97791,11
16-04-12 15:51:10:000,32.092428,34.977931,8
16-04-12 15:51:11:000,32.092432,34.977961,8
16-04-12 15:51:12:000,32.092451,34.97799,9
16-04-12 15:51:13:000,32.092458,34.978027,9
16-04-12 15:51:14:000,32.092478,34.978075,12
16-04-12 15:51:15:000,32.092483,34.978107,12
16-04-12 15:51:16:000,32.0925,34.978139,12
16-04-12 15:51:17:000,32.092493,34.978164,9
16-04-12 15:51:18:000,32.092506,34.97819,8
16-04-12 15:51:19:000,32.092512,34.978231,11
16-04-12 15:51:20:000,32.092556,34.978264,11
16-04-12 15:51:21:000,32.09256,34.978307,12
16-04-12 15:51:22:000,32.092604,34.978329,9
16-04-12 15:51:23:000,32.092623,34.978363,10
